sentence_id	essay_id	sentence_txt	idx_in_essay
7230	3355	To explain the offensive, and the none offensive books that are out there	9
7231	3355	I'm gonna talk about '@CAPS1 @CAPS2.' @CAPS3 book has a lot of bad words, sexual scenes, drugs, gang violence, racism	10
7232	3355	@CAPS3 book is so offensive that the childrens parents would'nt let them read it, but @CAPS3 book is based on a true story	11
7233	3355	Everything that happened in that book was real, and people need to know what happened and why were the people in that story doing those things	12
7234	3355	Some books @MONTH1 be offensive but you can learn from others mistake by reading that book	13
7235	3355	Everything @MONTH1 be offensive to you in one way, but looking from the other point of view it's a learning experience	14
7236	3355	People that made those mistake could tell the childrens that those stuff aren't wroth it	15
7237	3355	Everything has it's purpose	16
7238	3355	The books can tell you the story of peoples life, and the movies are based from the story and instead you can watch it	17
7239	3355	Music can tell you the life of people by poetry	18
7240	3355	Magazines really dont have a point their just there to gossip	19
7241	3356	Is the censorship in libraries really necessary	0
7242	3356	In my opinion it is but only to a certain extent	1
7243	3356	I believe that most people who frenquently go to the library know what types of books, movies, magazines, etc	2
7244	3356	that are for more of the adult group and more of the teenage/children group	3
7245	3356	I think the censoring is helping to keep our youth from taking the words and actions and using them in there daily lives	4
7246	3356	If we @CAPS9't want them to read or to even hear them I think the censorship is a great thing in ways	5
7247	3356	I believe if the censorship was to go away in some forms, I would use a different method of a censorship that was a bit more on the more favored sides for adults	6
7248	3356	The censorship would still be at the library in a certain form	7
7249	3356	There would be something just a bit different or new about whatever that person is checking out	8
7250	3356	If we could, when people are checking out these books, movie, magazines, etc	9
7251	3356	we could use a rating just like movies do	10
7252	3356	When a child whom is @NUM1 comes to the library to check out an item and they find one they are interested in they could bring it to the librarian and the librarian would check the rating and the age of the child with there library card and see if that item is appropriate for that child	11
7253	3356	There could be many ratings @CAPS1, @CAPS2, @NUM2, and @CAPS3	12
7254	3356	I think ages @NUM3 are for the @CAPS1-@CAPS2, the ages @NUM4 are for the @NUM2 and ages @NUM6 and up for rated @CAPS3	13
7255	3356	I see many times when children are learning words, phrases, and actions from movies, books, etc	14
7256	3356	that make them think it is ok to do or say these things	15
7257	3356	I think not	16
7258	3356	In my opinion I think that this idea could help out our youth and there parents make better choices in the content they are submitting themselves to	17
7259	3356	So if you feel like this is a good idea contact your local library and tell them you are in favor of the @CAPS7,  '@CAPS7 @CAPS8.' @CAPS9't wait until you have forgotten, call now.	18
7260	3357	Books, movies, music, and even @CAPS1 are all important in this life, and enviorment of ours	0
7261	3357	They all have a learning process	1
7262	3357	When you read you learn, when you watch a movie you learn, even when you listen to music you can learn	2
7263	3357	Weather its about past present or future, everyone has the right to learn it's part of being a citizen	3
7264	3357	Speaking of all this I belive just beacuse one book, or one movie makes someone uncomfortable i dont think that you should take that away	4
7265	3357	Thats not only taking away from your kid, or yourself thats taking away from everyone else	5
7266	3357	Just like the book huckleberry fin it's a wonderful book i love it because it's about the old days where they still belived in slavery, and there were still some good-hearted people around	6
7267	3357	This book to some would be very offensive beacuse of the fact it has the word nigger in it one-hundered and twenty-seven times	7
7268	3357	In fact last year at my school a mother tried to get it taken out, because she didnt want her son to read it he was actually a mixed boy but thankfully the committee saved it and it's still here	8
7269	3357	That's our history and everyone needs to learn some of it, weather it's offensive or not	9
7270	3357	As well as movies that can and mostly likely is offensive to people, they still should not have that stuff taken off either, like I said earlier thats taking away from everyone else	10
7271	3357	If you dont wanna see it then dont buy it, or if something that you find innapropriate comes on just change the channel	11
7272	3357	History is important and I dont think people should keep you from your right as a citizen and deprive you from learning what you wanna learn or need to learn for the future	12
7273	3357	Now the music part i can understand, some @MONTH1 be a little innapropiate for younger listeners so like i said before again change the station or dont buy that @CAPS2	13
7274	3357	Dont deprive people of what they wanna learn, watch or listen to	14
7275	3357	People that feel offended or embrassed should be ashamed of them self because that is very selfish, and rude	15
7276	3357	No one should be ashamed of who they are or any movie that describes the old days in the way it actually happened, if they put it in the nice way then it would all just be a lie	16
7277	3357	That's why I dont belive in censorship	17
7278	3357	It should not happen, any book, movie, magazine, @CAPS2 should be available to who wants it	18
7279	3358	People see libraries as a good place for knowlodge and just an information place, many people like them and some dread of the fact of hearing the word, '@CAPS1'	0
7280	3358	To be honust I only know a handful of people who use libraries in my life as a source for information now days but	1
7281	3358	Can some information from libraries be offencive to others	2
7282	3358	The answer is based by your own opinion to be quite honust, but yes I think some iformation that can be picked up from your local @CAPS1 can be rather, disturbing 'per say'	3
7283	3358	Theres books and information that you wish you would have never picked up in your whole life, then again thats everywhere	4
7284	3358	Now music and movies etc	5
7285	3358	is sort of the same way, some @MONTH1 not agree with what he/she picks out and you know they might be interested in	6
7286	3358	Can it be offencive to people	7
7287	3358	The answer is of coarse it can, but because people will be people	8
7288	3358	You @MONTH1 not agree on something, but your friend might think entirely different from what you are thinking, everyone is titled to their opinion on anything, well normally	9
7289	3358	Now if they have graphic movies or explicit music on the shelf where your little son/daughter can just grab, I could see that as a major issue	10
7290	3358	Some parents do not want their children listening to that music at such a young age, even though the way things are in america your child will hear or see those things, it's life	11
7291	3358	If that is the case where a five year old can pull a graphic movie or a cd that a parent doesn't want them to see or hear, then I do'nt nessasarily think it should be banned from the @CAPS1	12
7292	3358	I believe it should be handled well mannered and it should be moved, to a not so easy reach to a five year old	13
7293	3358	These are common arguements people have, about many places and about simular disagreements	14
7294	3358	Yes, I agree some things found in a @CAPS1 can be found offencive to some but my answer stays as, 'No' it shouldn't be removed unless it really is that offencive	15
7295	3358	If there is something that offencive in the @CAPS1 and mutiple people find it offencive in the community, I would take it to the people in charge of the local @CAPS1	16
7296	3360	Libraies should not be able to remove books, movies, and  magizines off the shelves just because some kids might be offended	0
7297	3360	If the town libraries and school libraries took out the cool movies, magizines, and books that most kids love to read and watch then the kids that like those books , movies, and magizines would not return to the library any more	1
7298	3360	For example, I like to listen to hard rock, heavy metal, and rap	2
7299	3360	But, the people that go to church just like to listen to church music	3
7300	3360	If your with your friend one night because he invited you to come to church with him and you pull in the parking lot listening to your rap music some people @MONTH1 not like it	4
7301	3360	This doesn't mean that they should take the things people don't like off the shelves in order to satisfy them	5
7302	3360	Libraries should have a policy stating that if a child should check out a book or magizine or rent a movie, that they should have the childs parents sign and return a permission slip stating that their child has their permission to rent this book, magizine, or movie	6
7303	3360	Libraries should have an age limint to check out books and magizines	7
7304	3360	If kids would want to rent a movie then they would have to have a permission slip signed by their parents and returned	8
7305	3360	This permission slip will and can be used for all movies	9
7306	3360	Libraries should not remove their books, magizines, or movies	10
7307	3360	They should make a policy to allow older kids to check them out	11
7308	3360	So, library material should be a choice	12
7309	3361	Some people @MONTH1 think that certain book, movies, magazines, or music should be removed from libraries because they @MONTH1 be found offensive	0
7310	3361	I believe that libraries should not rid their shelves of 'offensive' material	1
7311	3361	What really makes something offensive	2
7312	3361	If someone were to tell me that it looked as if I've lost weight, I would find that offensive	3
7313	3361	The person wouldn't have meant it that way, though	4
7314	3361	Although I would have found it slighly rude, another person @MONTH1 have found it to be a nice compliment	5
7315	3361	With this logic, can one really conclude that anything is truely offensive	6
7316	3361	By saying something is offensive, you're stating your own opinion	7
7317	3361	Even if they aren't the same as everyone else's, everyone is intitled to their own opinions	8
7318	3361	equality is something most people find very important	9
7319	3361	Because of this, one person's definiton of offensive shouldn't be held higher than another's	10
7320	3361	If we rid libraries of 'offensive' material, that is exactly what you would be doing	11
7321	3361	you'd be making one person's definition of offensive superior to another person's	12
7322	3361	I also believe libraries should not get rid of 'offensive' material because by doing so, they would probably be getting rid of a lot of interesting material	13
7323	3361	Let's use my religious beliefs for an example	14
7324	3361	I am @CAPS1 @CAPS2	15
7325	3361	Basically, I do not believe in '@CAPS3'	16
7326	3361	If someone were to write a book about my religion, I would find it interesting	17
7327	3361	Some @CAPS4 @MONTH1 find it to be offensive, though	18
7328	3361	So if a library got rid of that book because someone found it offensive, I wouldn't want to go there as often	19
7329	3361	When I go to a library, I want to find a book that I'd enjoy reading	20
7330	3361	If all the material that is found offensive was taken out of the library, would there really be anything left	21
7331	3361	If so, I doubt many people would find it interesting	22
7332	3361	I also believe this because by taking a book off the shelf because you find it offensive, wouldn't you be offending the author	23
7333	3361	As I said before, everyone is intitled to their own opinions	24
7334	3361	Because of this, libraries should allow authors to speak their minds	25
7335	3361	By taking their books off the shelves, you'd be offending them	26
7336	3361	They took their time and effort to think about and write that book, and for you to offend them by taking it off the shelf, you'd be controdicting the entire purpose of removing it from the shelf	27
7337	3361	In conclusion, I believe that nothing can truely be defined as offensive	28
7338	3361	Also, people should be able to speak their minds	29
7339	3361	Therefore, libraries should not attempt to rid there shelves of 'offensive' material	30
7340	3362	Dear @CAPS1:     Have you ever seen an offensive book on a shelf in a library	0
7341	3362	Would you want your children influenced by these findings	1
7342	3362	These are the question you need to ask yourself about certain materials that appear in libraries	2
7343	3362	As a concerned citizen I am writing to you to relect my opinion on censorship in libraries	3
7344	3362	In my own personal experiences I have come across magazines, books, and music that are offensive	4
7345	3362	I believe that these materials should not be found in libraries	5
7346	3362	There are many people that still would want these materials, so my suggestion is that there should be a seperate room for the offensive materials	6
7347	3362	If there was a seperate room, we can keep these materials away from young kids	7
7348	3362	When I get older and have children, I believe that the library should be a kid friendly place	8
7349	3362	In order to make that happen we need find a place for these materials or not have them at all	9
7350	3362	Libraries need to be somewhere were anyone can go: a college kid trying to prepare for a test, a young child wanting to discover @PERSON1, or a old man wanting to enjoy the peace and quiet	10
7351	3362	The distraction of offensive materials are not needed in a library	11
7352	3362	Libraries are places to learn and explore the different sources that are inside	12
7353	3362	For young children it is the fairytale land where anything is possible and the unimaginable can become true	13
7354	3362	If there are materials that adults do not want their children to see, they @MONTH1 not be comfortable having their child there	14
7355	3362	Libraries need to be kid friendly places, so that all the ages can enjoy what it has to offer	15
7356	3362	As you can see, offensive materials should not be in libraries	16
7357	3362	All ages should be able to enjoy what a library has to offer, and with some materials that is not possible	17
7358	3362	Please consider the following	18
7359	3362	Kind regards,         @PERSON2	19
7360	3364	Censorship is important	0
7361	3364	Especially pertaining to what books, magazines, movies, and music almost all people are reading, watching, and listening to	1
7362	3364	Some of the media such as books and magazines and such in libraries everywhere can be highly offensive to certain people or can send off the wrong message to children and teens	2
7363	3364	So, should we take them off the shelves	3
7364	3364	I personally think no, most media aspects that are on the shelves in libraries can be very offensive to people, but alot of it has to do with people's opinions	4
7365	3364	The readers are the ones that are claiming that the books and other media aspects in libraries are offensive	5
7366	3364	The authors and directors and singers just do what they do, and the judgement and opinions all come from the people, fans, and critics	6
7367	3364	We shouldn't be taking it all off library shelves just because it is offensive to some people	7
7368	3364	This leads back to the quote from Katherine Paterson when she states: 'And then we have no books left on the shelf for any of us.' We can't take everything off the shelves because everyone's opinions are different so if we censor everything, there won't be anything left	8
7369	3364	Right now, they are doing a good job with censoring everything such as putting a rating on video games, and movies	9
7370	3364	Rated @CAPS1 movies are known to be for adult watchers and same goes for video games	10
7371	3364	Music they play on the radio is censored of all the foul language, so they make an effort	11
7372	3364	That leaves people the choice to watch, listen, or read the things they want, and they have to know beforehand that it might offend them	12
7373	3364	Although sometimes people think censoring those media aspects is not enough censorship, that's about all that can be done to not offend others	13
7374	3364	By taking everything off the shelves because of people's opinions, it could potentially make someone else angry or them being lacked of the things they want to read or watch	14
7375	3364	Censorship can be wholesome without removing all media off the shelves and in the world	15
7376	3365	Censorship in Libraries     I know as well as everyone else does, that you can find almost anything, reading related, in the library	0
7377	3365	There is all different kinds of stuff in there	1
7378	3365	From children's books, to love stories and people's magazines, newspapers, movies, and music	2
7379	3365	Everyone is welcome in the library, of course, but is everyone aloud to look at whatever they want	3
7380	3365	I personally think it's a good idea to have all of this stuff in the library, for anyone, even though some of it's not very appropriate	4
7381	3365	For people who sit at home and don't have a library, maybe they want to know about something specific and the first place they would think about going is the library	5
7382	3365	Nobody can really help with what people @MONTH1 find in the library but i think it's a good idea to keep that kind of stuff in a public place	6
7383	3365	You could go on the internet to get whatever information you need, yeah, but, what if the internet doen't have what you're looking for	7
7384	3365	I like books better then internet myself	8
7385	3365	Anybody can put information on the computer, but atleast when it's in a book, it's true, because it has to be published and read by someone that wouldn't let a book with false information be sent out to the public	9
7386	3365	If the libraians are worried about underaged kids getting into books that they're not suppose to, then put it somewhere where they can't reach	10
7387	3365	Put the adult books in the adult section, and don't let the little kids go in that area	11
7388	3365	You could always put them up high too so the kids wouldn't even know they was there	12
7389	3365	All the libraries I've ever been to, had their own sections, the adults would go to their section, and the kids would go to their's	13
7390	3365	If the parents are afraid of what their kids will find, then keep them home and don't let them go to the library	14
7391	3365	Make your own at home, then you could put whatever books and magazines you want in there	15
7392	3366	Should certain materials be removed from our library shelves just because it has uncensored materials inside of it	0
7393	3366	My opinion is no, actually heck no	1
7394	3366	Now don't get me wrong, but I'm not the type of person that likes reading materials like that all the time, but every once in a while there is a really good book or magazine I would like to read that is uncensored	2
7395	3366	The bad thing is that  I am told I cannot just because it says something or shows a picture of something a teenager supposidly shouldn't be seeing	3
7396	3366	One of my main questions on this material is why are they allowed to show statues of the early roman times in our history books but not materials we hear and see on a daily bases	4
7397	3366	Half of the time the statues are of a naked person	5
7398	3366	I don't see why that is allowed but other materials about our times are not	6
7399	3366	We are in the time period were people are open that it doesn't bother them to see that stuff	7
7400	3366	Yes, some materials are not suited for teenagers my age, but honestly I hear offensive things all the time when I walk through the halls in my high school	8
7401	3366	Someone @MONTH1 have an opinion about how the material is offensive, but if its so offisive why do they bother even complaining or thinking about it	9
7402	3366	Yes, everyone has a right to their own opinion, but thats there opinion and that doesn't make them always right	10
7403	3366	That person can have there opinion but other people have opinions that might oppose the other persons opinion	11
7404	3366	Does that make them wrong	12
7405	3366	You will never know because everyone has there own and who knows whose opinion is right	13
7406	3366	Another statement I would like to just throw out there is that we teenagers are learning to make our own decisions because in the near future we are going to be adults and have to make those choices on our own	14
7407	3366	So, just let us choose if we would like to read material with uncensored things in it	15
7408	3366	It is our choice, why can't we just choose it without people telling us we cannot	16
7409	3366	I still do not see why it is such a big deal of reading uncensored material	17
7410	3366	Why can't they just allow the materials in our libraries	18
7411	3366	Don't make any decisions for us because we can do it ourselves, we are learning how to be more adult like, right?	19
7412	3367	@NUM1ed     The censorship of certain media is such a controversial topic	0
7413	3367	Whether a certain piece of material is considered offensive and should be censored or not is more often opinionated rather than logically opposed, because it really does all come down to someone's opinion on this matter	1
7414	3367	It is too difficult for most people to step in someone else's shoes or be persuaded from a viewpoint different from their own or even escape pressures from the general public to consider something else	2
7415	3367	Things get censored for a lot of reasons, too	3
7416	3367	Sometimes they're just so intentionally offensive that perhaps the author or producer wants it to be censored or would appreciate the controversy, or that a new view or opinion is so radical and against a majority of the population that it is just considered offensive for being so different	4
7417	3367	Well, when does someone have a right to take a song off the air or pull a book permanently from a shelf	5
7418	3367	The first thing that needs to be contemplated is if something is offensive or not	6
7419	3367	There are extremes to pieces of media where one sometimes must ask, '@CAPS1 were they thinking when they made that?' A movie being so outrageously graphic or violent is a fine example (although the same thing can happen in books, just with words instead of pictures)	7
7420	3367	At the same time though, whether or not something you might think as unnecessary gore in a film might just be @CAPS1 I'm excited to see when I go to the cinema - it's all opinionated	8
7421	3367	Another interesting thought is that somebody might come up with a revolutionary, radical scientific theory and write a whole novel or film a documentary explaining it all, but certain groups of people might claim that it is offensive to them	9
7422	3367	However, we might investigate into that theory ourselves and not be offended in the slightest	10
7423	3367	This is understandable though, people grow up in an environment that has its own set of ethics and principles, and people will honestly believe them and probably stick with those fundamentals throughout their lifetime	11
7424	3367	If you go against someone's beliefs that they hold so dear like that, they would of course be offensive to them	12
7425	3367	Does that mean that the something should be censored just because it offends a couple of groups in a population	13
7426	3367	Whether or not something is to be torn from the access of the public is left up to the opinions of the general public themselves	14
7427	3367	The opinion of the public is created by the current time, trends, ethics, and problems that are going on	15
7428	3367	When something goes against too many of those things, people get upset	16
7429	3367	If most people are upset by something, it will probably start disappearing from sight	17
7430	3367	It's bad for business, and libraries are losing customers already due to most people not having an urge to read anymore with all of the stuff that you can do otherwise	18
7431	3367	Certain things can just put a bad taste in your mouth, and if someone gets that too often when they go to a library, they probably won't go there anymore	19
7432	3367	So when it comes down to censorship in libraries, or anywhere, its just a bunch of opinions	20
7433	3367	If the general public does not like something, it will stop showing up	21
7434	3367	Certain books or other pieces of media are asking for the controversy that many subjects bring, while others are just unintentionally going against certain groups of people	22
7435	3367	People's beliefs are determined by where they grew up and when, and they'll hold on to those things for their lifetime	23
7436	3367	If something goes against those, people will be offended, and if enough people are upset, it gets taken away	24
7437	3368	Isn't  it shocking that some books, music, movies and magazines you find on your library shelf today aren't appropriate for the little ones	0
7438	3368	I believe that if you have to question whether a child should be listening or viewing this item then it shouldn't be in or around a child section at all	1
7439	3368	Some content could be offensive to not just children but also to teenagers and adults	2
7440	3368	Some music @MONTH1 contain words that are children shouldn't be exposed to	3
7441	3368	Music such as hip/hop and rap @MONTH1 contain degrading comments to men and/or women	4
7442	3368	I wouldn't want my child listening to this type of music, or reading any book that talks about it	5
7443	3368	Music @MONTH1 also be offensive to cultures, religion, sexual orientation and race	6
7444	3368	Books or music with comments such as that should have notes written on them stating what they contain	7
7445	3368	I was reading a book called '@CAPS1 of @CAPS2', that i had picked up in the child section	8
7446	3368	After the first chapter I had wondered who who call this a children book	9
7447	3368	The character was using profanity and talking about sex the whole time	10
7448	3368	My child shouldn't be looking for a book on pie then find out its not about pie	11
7449	3368	I once was watching a movie with my two year old that we got from the library	12
7450	3368	The movie was full of inappropriate words, therefore I had to shut it off	13
7451	3368	Movies like that should not be on the shelf at the library for my child to view	14
7452	3368	I now have to worry about what we check out	15
7453	3368	I also have had a few bad reading experiences	16
7454	3368	Magazines is a big one	17
7455	3368	Some magazines @MONTH1 contain content such as innappropriate pictures and words	18
7456	3368	Magazines should stay at the grocery store rather then a library that I take my child to	19
7457	3368	Books, music, movies and magazines should stay out of the childrens section if they are only meant for adult viewing keep them in the adult section	20
7458	3368	Any parent would tell you that they don't agree with some of the stuff on your local library shelf today	21
7459	3368	Offendsive content shouldn't be found in the library at all	22
7460	3368	I know now to keep a better eye on what my child is reading.	23
7461	3369	All kid's have their own style of books, @CAPS1 people like scary, funny, or romance books, but can we really take that to an offense	0
7462	3369	We should think of how taking @CAPS1 books off the shelf would affect more then one person, @CAPS1 people @MONTH1 be mature enough to read the more 'grown up' books or magazines, libraries have all types of syles for different people, you just might have to look a little harder to find the right book for you	1
7463	3369	I do not agree that @CAPS1 books and or magazines can be taken offensive	2
7464	3369	All libraries are different  types of books,for example  an elemantry school library they will not have grown up or teenager books, and a middle school will not have little kid books	3
7465	3369	We also have to think does peer presure effect what books or magaiznes kids read	4
7466	3369	, for example when I was in middle school my friends were all reading romance books, and I was still reading @ORGANIZATION1, and I had to change my reading style to fit in, so that's exactly what I did	5
7467	3369	Books that have offensive content shouldn't be taken off the shelf, I believe that if there is 'offensive' books in your library, just ignore them you @CAPS2't have to get that book, we cant just take the more grown up books out because @CAPS1 kids @CAPS2't know what their suppose to be reading	6
7468	3369	Libraries have all different style of books to fit everyone's taste, so just look for that right book that suites you, and @CAPS2't take all the books that have an offensive style of the shelf, @CAPS2't judge a book by it's cover	7
7469	3370	'All of us can think of a book that we hope none of our children or any other children have taken off the shelf	0
7470	3370	But if I have the right to remove that book from the shelf- that work I abhor- then you also have exactly the same right and so does everyone else	1
7471	3370	And then we have no books left on the shelf for any of us.' - @PERSON1     If one thinks about it books are such a magical escape from everday life	2
7472	3370	They can take one anywhere they want to go at anytime	3
7473	3370	Imagine a world where books are a luxury or where they are simply not present at all.I feel as if this would become an all too real reality if we censor books	4
7474	3370	Where would the line be drawn saying a book is unfit to be @CAPS5 or placed into circulation	5
7475	3370	This would hold the world back since we could not express ourselves through our writing	6
7476	3370	So much would be left unsaid	7
7477	3370	I believe the quote stated above is quite true	8
7478	3370	If we place censorship on one book everyone has a right to ban other books as well	9
7479	3370	Just because certain books, movies, and magazines are deemed offensive to some, does not mean they should be banned for all	10
7480	3370	No one should we withheld from a book due to age, race, gender, or any other factor	11
7481	3370	If one has ever been prohibited from doing something due to age or size the feeling is not pleasant.No one neccessarily said anything mean or hurtful it just feels as if restritions and boundaries were set for no particular reason	12
7482	3370	I have felt this way multiple times	13
7483	3370	I remember one time in particular	14
7484	3370	I went to @LOCATION1 with a group of my cousins and their friends	15
7485	3370	Since I was the youngest I was also the shortest	16
7486	3370	I could not ride many of the rides there due to my size	17
7487	3370	I knew why those heighth requirements were set, for my personal safety	18
7488	3370	This makes sense, but why should one be required to be a certain age to watch a movie or watch a tv show	19
7489	3370	Honestly some people are more mature than others and grow up faster	20
7490	3370	Everyone is different	21
7491	3370	Everyone has a different personality and different perspective, there is no need to ban a book for everyone when we are all different	22
7492	3370	One should not be ineligible to @CAPS5 a book or magazine or watch a movie	23
7493	3370	Not wanting to is totally differnet from not getting to	24
7494	3370	The popular book To @CAPS1 A @CAPS2 was banned at one time in the @LOCATION2 simply for using the 'n-word'	25
7495	3370	This angers many especially when one ponders how much slavery as well as the @CAPS3 @CAPS4 affected and shaped us into who we are today	26
7496	3370	America is a great nation because of the @ORGANIZATION1.Do we need to have a @ORGANIZATION1 to @CAPS5!Why should we restrict ourselves and limit our own personal freedoms	27
7497	3370	If anything is to be banned, I believe it is censorship	28
7498	3371	When one person is giving a right to do something, then everyone else should have the right to do the same thing	0
7499	3371	But every so often, you have someone that abuses their rights to something	1
7500	3371	I belive that all books, music, movies, magazines, and everything else has a right on a library shelf	2
7501	3371	And they shouldn't be romoved if they are found offensive because in almost every book someone reads, there will be some kind of offence in it	3
7502	3371	I also belive that all books, music, movies, magazines, and everything else has a pupose to it	4
7503	3371	And if the purpose is good enough for it to be published than, it should have a good message worth delivering to people, even if it is a little offensive	5
7504	3371	I've read a few books, watched a few movies, and heard a few songs that were offensive even to me in some way	6
7505	3371	But, considering that there was more of a purpose to it, and the purpose being a good message, I liked the few movie and songs that most people would say its 'junk'	7
7506	3371	I don't have alot of experiences because there isn't a lot that I can say is offensive, but the few songs, movies that are offensive to even me, I belive that there was some kind of good message there	8
7507	3371	I personally think that no one should have a right to take a book, a peice of music, a magazine, or anything else off a library shelf	9
7508	3371	Because everything has some kind of purpose to it, and has some kind of message in it for each and every person to discover	10
7509	3372	Yes, I think they should be removed from the shevles	0
7510	3372	Some books, music, movies, magazines, etc	1
7511	3372	are overated and young children go to visit the library	2
7512	3372	They should have a shelve for kids, tennagers and grown-ups	3
7513	3372	Everybody should have they own section for their age group	4
7514	3372	Young kids are already doing things that they shouldn't be doing, like hanging out in the street, hang with older kids	5
7515	3372	They watch inappropriate movies, when they should be watching something educational	6
7516	3372	The music they have out now days, children shouldn't listen to it	7
7517	3372	It's to much cursing and violent	8
7518	3372	More parents need to spend more time with their kids and talk to them about these things	9
7519	3372	There are certain things tennagers should watch and read too	10
7520	3372	I don't think they should read about killing or sex	11
7521	3372	I rather their parents talk to them about that and stop hiding things from them	12
7522	3372	Parents will eventually find out what you doing behind close doors, they been through everything you doing or trying to do now	13
7523	3372	So just talk to them and be real about things	14
7524	3372	I think they should be certain magazines in the library	15
7525	3372	Young children beat theyselves up, because they don't look like the young actors and actress in the magazines	16
7526	3372	They try to rush their life and be somebody they not meant to be	17
7527	3372	Young ladies want to have big boobs and butt	18
7528	3372	Then, young men want to have big mucles and be buff	19
7529	3372	In conclusion, I don't think books, music, movies, magazines, etc	20
7530	3372	should be removed from the shelves	21
7531	3372	There should be a shelve for young kids, tennages and adults	22
7532	3372	The music that is played on the radio now days, shouldn't be on there	23
7533	3372	Magazines shouldn't out on shelves for children to reach	24
7534	3372	There are certain things tennagers should watch and read.	25
7535	3373	I honestly think that anything should be allowed in libraries	0
7536	3373	If you think about it, there is a law called freedom of speech	1
7537	3373	This law should be all the reason for someone not to ban something for what it says	2
7538	3373	Also, in my opinion, if you find it offensive, you dont have to look at it or read it or listen to it	3
7539	3373	I remember walking threw the library in town and seeing a large quantity of books	4
7540	3373	None of these books really seemed offensive	5
7541	3373	Then again, this library had an upstairs that the more 'colorful' books were at	6
7542	3373	For example, some adult books etc	7
7543	3373	These books were offensive	8
7544	3373	They should not be banned though, they should only be moved	9
7545	3373	On a different akasion, i remember walking threw the library trying to find a book to help me with an assignment at skool and i seen several young kids looking at some adult books and magazines	10
7546	3373	I belive that these were put here for advertisements, however, they should be advertised in different areas out of site of kids and teenagers	11
7547	3373	Although it would be nice to see some books and magazines banned, it would be quite difficult to accomplish	12
7548	3373	I don't think that anything should ever be banned for what it says or shows or sounds like	13
7549	3373	Instead, moved from one area to a different area	14
7550	3373	For example, instead of showing certain things at low levels where younger people can get there hands on, they should be at a higher level or behind the desk.	15
7551	3374	Have you ever found a book offensive	0
7552	3374	Many people can say they have	1
7553	3374	They might not agree on the point of the book or certain viewpoints in the text	2
7554	3374	When this happens, people stop reading the book and other books in the same category	3
7555	3374	Certain materials should not be removed from shelves if they are found offending to certain people	4
7556	3374	Everyone has opinions, what would be left without books	5
7557	3374	At my public library, citizens of my city can request certain books, movies, music, or magazines to be put on the shelves	6
7558	3374	We are very blessed to have this available because if someone cannot afford cerain books, they can always rely on the library	7
7559	3374	Many people have been very thankful for this system	8
7560	3374	If certain people at the library do not want to order certain books requested by citizens because they find them offensive, what would happen	9
7561	3374	More people would stop going to the library because there would be no materials sparking their interest	10
7562	3374	Everyone is titled to their own opinions	11
7563	3374	Just because one person does not approve of a book does not mean that book should not be offered at the library	12
7564	3374	There are thousands and thousands of books on display at the public library, that does not mean you have to read all of them	13
7565	3374	There are also many different genres of novels, movies, music, and magazines	14
7566	3374	Everyone has interests in different types	15
7567	3374	If people all liked the same things, would not life be boring	16
7568	3374	In conclusion, certain materials should not be removed from the shelves of libraries is they are found offending to certain people	17
7569	3374	Everyone is titled to their own opinions	18
7570	3374	If a specific book is requested and one person finds it offending, the book should stay in the library	19
7571	3374	There are many different genres of books, music, movies, and magazines	20
7572	3374	Imagine if the library did not have a certain type of novel you enjoyed, would you continue to go?	21
7573	3375	I think libraries shouldn't removed material from the shelves even thoug its offensive	0
7574	3375	The libraries should't removed offensive material because even though it might be offensive to some people other people still might want to learn about that topic	1
7575	3375	For an example the @CAPS1 didn't like the @CAPS2	2
7576	3375	In some books its has some offensive stuff about @CAPS2 that were stated by @CAPS4	3
7577	3375	Some @CAPS2 might take that offensive but other people from diffrent race or relegion might want to learn about what was said	4
7578	3375	Just because people read about it doesne't mean all of them are going to agree with it	5
7579	3375	People might have their own point of view, no one has there right of telling one person what they can or can't like	6
7580	3375	If cenorship starts to occur in libraries or other in other communtiy places, I think people are going to get mad and might have a bigger problem than some people being offensded of their material	7
7581	3375	They might think that they are being told of what they can or can't read,listen,or believe in.That will occur a bigger conflict and get a lot of people furious	8
7582	3375	I think it will be simplier if library haves the materials on shelves and people who are getting offended of what they have in there should ignore it because why will they read or listen to something if it only gets them furious	9
7583	3375	They might be offended of what one person says but who cares, not everyone is going to think or agree of what is being said	10
7584	3375	Its just a person point of view let them be them and just stick with what you think of yourselves  and in your believes	11
7585	3375	Not everyone is right and perfect just be youselves	12
7586	3376	Materials should not be removed from libraries	0
7587	3376	It should be left up to a person to decided what the see or view	1
7588	3376	Books, music, movies, etc., are materials used by everyone and for some a library provide a haven where the can get there hands on such things only and no where else, so shouldn't try to take away any of these things from any body	2
7589	3376	One reason why certain materials should not be removed from libraries shelfs is that there will always be some subjects, and materials that a great many people will argue shouldn't be seen, and there will always be other people who feels differently	3
7590	3376	And if we allow them to be taken away you will only be taking away a person own choice, which is something we all should strieve not to do	4
7591	3376	Also just who would be left to decide what material should be removed and what material shouldn't	5
7592	3376	Is there really one person who could make a such a choice for everyone	6
7593	3376	Also there is no way everyone could agree on what material should be removed, so by trying you would just be providing something more for everyone to argue on	7
7594	3376	I believe that if not everyone can be satisfied then why bother	8
